Time,Average(B)
(us),(mV)

-20.00491365,-0.01359390
-19.99241365,-0.00735612
-19.97991365,-0.01350091
-19.96741365,-0.01089229
-19.95491365,-0.01678911
-19.94241365,-0.01184370
-19.92991366,-0.01389912
-19.91741366,-0.01719685
-19.90491366,-0.01360822
-19.89241366,-0.01235637
-19.87991366,-0.00828129
-19.86741366,-0.00989320
-19.85491366,-0.01006965
-19.84241366,-0.01501744
-19.82991366,-0.01568747
-19.81741366,-0.01302878
-19.80491366,-0.01037486
-19.79241366,-0.01199154
-19.77991366,-0.01199631
-19.76741366,-0.01172925
-19.75491367,-0.01817925
-19.74241367,-0.01645767
-19.72991367,-0.01292626
-19.71741367,-0.01376082
-19.70491367,-0.01739953
-19.69241367,-0.01556827
-19.67991367,-0.01469315
-19.66741367,-0.01501268
-19.65491367,-0.01135249
-19.64241367,-0.01031525
-19.62991367,-0.01418526
-19.61741367,-0.01557540
-19.60491367,-0.00923031
-19.59241368,-0.01073492
-19.57991368,-0.00620919
-19.56741368,-0.01318854
-19.55491368,-0.01490060
-19.54241368,-0.01557303
-19.52991368,-0.01531073
-19.51741368,-0.01573040
-19.50491368,-0.01084460
-19.49241368,-0.01220137
-19.47991368,-0.01261866
-19.46741368,-0.01198916
-19.45491368,-0.01245889
-19.44241368,-0.00975251
-19.42991368,-0.00869381
-19.41741369,-0.00948546
-19.40491369,-0.01297394
-19.39241369,-0.01157187
-19.37991369,-0.01168633
-19.36741369,-0.01444039
-19.35491369,-0.01292625
-19.34241369,-0.00922793
-19.32991369,-0.01297395
-19.31741369,-0.01453578
-19.30491369,-0.01291433
-19.29241369,-0.01489345
-19.27991369,-0.01650536
-19.26741369,-0.01547527
-19.25491370,-0.01579715
-19.24241370,-0.01657927
-19.22991370,-0.01666273
-19.21741370,-0.01871099
-19.20491370,-0.01751400
-19.19241370,-0.01505559
-19.17991370,-0.01416857
-19.16741370,-0.01150034
-19.15491370,-0.00720351
-19.14241370,-0.01135011
-19.12991370,-0.01183416
-19.11741370,-0.00856028
-19.10491370,-0.01016980
-19.09241371,-0.01142641
-19.07991371,-0.00778532
-19.06741371,-0.01063477
-19.05491371,-0.01088753
-19.04241371,-0.00890841
-19.02991371,-0.00834806
-19.01741371,-0.00858889
-19.00491371,-0.00588966
-18.99241371,-0.01069677
-18.97991371,-0.00792839
-18.96741371,-0.00921362
-18.95491371,-0.00657162
-18.94241371,-0.00761126
-18.92991371,-0.00573944
-18.91741372,-0.01405649
-18.90491372,-0.01620729
-18.89241372,-0.01166486
-18.87991372,-0.01223714
-18.86741372,-0.01130242
-18.85491372,-0.00942107
-18.84241372,-0.01147411
-18.82991372,-0.01235636
-18.81741372,-0.01172209
-18.80491372,-0.01783113
-18.79241372,-0.01470745
-18.77991372,-0.00735134
-18.76741372,-0.01011019
-18.75491373,-0.00792601
-18.74241373,-0.00563691
-18.72991373,-0.01204876
-18.71741373,-0.01651727
-18.70491373,-0.01416618
-18.69241373,-0.01838432
-18.67991373,-0.01371313
-18.66741373,-0.01266635
-18.65491373,-0.01198200
-18.64241373,-0.01026279
-18.62991373,-0.00937577
-18.61741373,-0.00735373
-18.60491373,-0.01032240
-18.59241373,-0.01047978
-18.57991374,-0.01381805
-18.56741374,-0.01110929
-18.55491374,-0.01323146
-18.54241374,-0.01537511
-18.52991374,-0.01177455
-18.51741374,-0.01267350
-18.50491374,-0.00985266
-18.49241374,-0.01145741
-18.47991374,-0.01063477
-18.46741374,-0.01427348
-18.45491374,-0.01709910
-18.44241374,-0.01250897
-18.42991374,-0.00660501
-18.41741375,-0.00587774
-18.40491375,-0.00979067
-18.39241375,-0.00802139
-18.37991375,-0.00720113
-18.36741375,-0.00807384
-18.35491375,-0.00896563
-18.34241375,-0.01401834
-18.32991375,-0.01355814
-18.31741375,-0.01099960
-18.30491375,-0.01266157
-18.29241375,-0.01512236
-18.27991375,-0.01459538
-18.26741375,-0.01573994
-18.25491375,-0.01240167
-18.24241376,-0.01370836
-18.22991376,-0.01168156
-18.21741376,-0.01068485
-18.20491376,-0.01161957
-18.19241376,-0.01496737
-18.17991376,-0.01303117
-18.16741376,-0.01354383
-18.15491376,-0.00776386
-18.14241376,-0.01058470
-18.12991376,-0.01167917
-18.11741376,-0.01215606
-18.10491376,-0.01428302
-18.09241376,-0.01297395
-18.07991377,-0.01090660
-18.06741377,-0.01194623
-18.05491377,-0.01286664
-18.04241377,-0.01312894
-18.02991377,-0.01382281
-18.01741377,-0.01204638
-18.00491377,-0.01016503
-17.99241377,-0.00861035
-17.97991377,-0.01287379
-17.96741377,-0.01329346
-17.95491377,-0.01682726
-17.94241377,-0.01465023
-17.92991377,-0.01139781
-17.91741377,-0.01006012
-17.90491378,-0.01156233
-17.89241378,-0.01053223
-17.87991378,-0.01219898
-17.86741378,-0.01051555
-17.85491378,-0.01261389
-17.84241378,-0.01193670
-17.82991378,-0.01329108
-17.81741378,-0.01584962
-17.80491378,-0.01627167
-17.79241378,-0.01417095
-17.77991378,-0.01578524
-17.76741378,-0.01172209
-17.75491378,-0.01308840
-17.74241379,-0.01069677
-17.72991379,-0.01104729
-17.71741379,-0.00990989
-17.70491379,-0.00954507
-17.69241379,-0.01089468
-17.67991379,-0.01298348
-17.66741379,-0.01141211
-17.65491379,-0.00995281
-17.64241379,-0.01147888
-17.62991379,-0.01197962
-17.61741379,-0.00594212
-17.60491379,-0.00818591
-17.59241379,-0.01052747
-17.57991379,-0.00860558
-17.56741380,-0.00864373
-17.55491380,-0.01063000
-17.54241380,-0.01469554
-17.52991380,-0.01193908
-17.51741380,-0.00932569
-17.50491380,-0.00958321
-17.49241380,-0.01171255
-17.47991380,-0.01235159
-17.46741380,-0.01465500
-17.45491380,-0.01573041
-17.44241380,-0.01558733
-17.42991380,-0.00995281
-17.41741380,-0.01235398
-17.40491381,-0.01303594
-17.39241381,-0.01031287
-17.37991381,-0.00656447
-17.36741381,-0.01089945
-17.35491381,-0.01614530
-17.34241381,-0.01230629
-17.32991381,-0.01000527
-17.31741381,-0.01360106
-17.30491381,-0.01073016
-17.29241381,-0.01364875
-17.27991381,-0.01500313
-17.26741381,-0.01381804
-17.25491381,-0.01240882
-17.24241381,-0.01520580
-17.22991382,-0.00949022
-17.21741382,-0.00964044
-17.20491382,-0.01286187
-17.19241382,-0.00806431
-17.17991382,-0.00864850
-17.16741382,-0.00984789
-17.15491382,-0.00540084
-17.14241382,-0.00762079
-17.12991382,-0.01260434
-17.11741382,-0.01043448
-17.10491382,-0.01058231
-17.09241382,-0.01136680
-17.07991382,-0.01442848
-17.06741383,-0.00720112
-17.05491383,-0.00843628
-17.04241383,-0.01224429
-17.02991383,-0.01105444
-17.01741383,-0.00985505
-17.00491383,-0.01084222
-16.99241383,-0.01167440
-16.97991383,-0.01240882
-16.96741383,-0.01224906
-16.95491383,-0.01282133
-16.94241383,-0.00952599
-16.92991383,-0.01204400
-16.91741383,-0.01458346
-16.90491383,-0.01521535
-16.89241384,-0.01635990
-16.87991384,-0.01256143
-16.86741384,-0.01214653
-16.85491384,-0.01391105
-16.84241384,-0.01079930
-16.82991384,-0.01271165
-16.81741384,-0.01817687
-16.80491384,-0.01890652
-16.79241384,-0.01381328
-16.77991384,-0.00885834
-16.76741384,-0.01344607
-16.75491384,-0.01280703
-16.74241384,-0.01803381
-16.72991385,-0.01224668
-16.71741385,-0.01119989
-16.70491385,-0.01526781
-16.69241385,-0.01293102
-16.67991385,-0.01642906
-16.66741385,-0.01124996
-16.65491385,-0.01641474
-16.64241385,-0.01662458
-16.62991385,-0.01746154
-16.61741385,-0.01589016
-16.60491385,-0.01182462
-16.59241385,-0.01340076
-16.57991385,-0.01553011
-16.56741385,-0.01057516
-16.55491386,-0.01001958
-16.54241386,-0.01369882
-16.52991386,-0.01078976
-16.51741386,-0.01141926
-16.50491386,-0.01396589
-16.49241386,-0.01532980
-16.47991386,-0.01156949
-16.46741386,-0.01093999
-16.45491386,-0.01079215
-16.44241386,-0.01496022
-16.42991386,-0.01214653
-16.41741386,-0.01251612
-16.40491386,-0.01244221
-16.39241387,-0.00845059
-16.37991387,-0.01349614
-16.36741387,-0.01391343
-16.35491387,-0.01449285
-16.34241387,-0.01494830
-16.32991387,-0.01532504
-16.31741387,-0.01514381
-16.30491387,-0.01131196
-16.29241387,-0.01125712
-16.27991387,-0.01197962
-16.26741387,-0.01813396
-16.25491387,-0.01631937
-16.24241387,-0.01083984
-16.22991387,-0.01094714
-16.21741388,-0.01119989
-16.20491388,-0.01369882
-16.19241388,-0.01510089
-16.17991388,-0.01071823
-16.16741388,-0.01152179
-16.15491388,-0.01734945
-16.14241388,-0.01052032
-16.12991388,-0.01225145
-16.11741388,-0.01093521
-16.10491388,-0.01072538
-16.09241388,-0.01245413
-16.07991388,-0.01271880
-16.06741388,-0.01334592
-16.05491389,-0.00734181
-16.04241389,-0.00551530
-16.02991389,-0.00875819
-16.01741389,-0.01011973
-16.00491389,-0.01495067
-15.99241389,-0.01391342
-15.97991389,-0.01484814
-15.96741389,-0.01428064
-15.95491389,-0.01312655
-15.94241389,-0.00823360
-15.92991389,-0.01256143
-15.91741389,-0.00584197
-15.90491389,-0.00754449
-15.89241390,-0.00839575
-15.87991390,-0.00516001
-15.86741390,-0.00948068
-15.85491390,-0.00854597
-15.84241390,-0.01361536
-15.82991390,-0.01125235
-15.81741390,-0.00958560
-15.80491390,-0.00885595
-15.79241390,-0.00851020
-15.77991390,-0.00797846
-15.76741390,-0.01209884
-15.75491390,-0.01078499
-15.74241390,-0.01021272
-15.72991390,-0.01653158
-15.71741391,-0.01892322
-15.70491391,-0.01671758
-15.69241391,-0.01828657
-15.67991391,-0.01579002
-15.66741391,-0.02095241
-15.65491391,-0.01859654
-15.64241391,-0.01313847
-15.62991391,-0.01377036
-15.61741391,-0.01489106
-15.60491391,-0.01532504
-15.59241391,-0.01557779
-15.57991391,-0.01828418
-15.56741391,-0.01209169
-15.55491392,-0.01450001
-15.54241392,-0.01082792
-15.52991392,-0.01079691
-15.51741392,-0.01111167
-15.50491392,-0.01078976
-15.49241392,-0.01047263
-15.47991392,-0.01265442
-15.46741392,-0.00765417
-15.45491392,-0.00709621
-15.44241392,-0.00839814
-15.42991392,-0.00749441
-15.41741392,-0.00806430
-15.40491392,-0.00947591
-15.39241392,-0.00635463
-15.37991393,-0.00843389
-15.36741393,-0.01209884
-15.35491393,-0.01400643
-15.34241393,-0.01496260
-15.32991393,-0.01463592
-15.31741393,-0.01317424
-15.30491393,-0.01417334
-15.29241393,-0.01056800
-15.27991393,-0.01246367
-15.26741393,-0.01230629
-15.25491393,-0.01203446
-15.24241393,-0.01221090
-15.22991393,-0.01155757
-15.21741394,-0.00901333
-15.20491394,-0.01032956
-15.19241394,-0.00949976
-15.17991394,-0.00807146
-15.16741394,-0.00469027
-15.15491394,-0.00305690
-15.14241394,-0.00348611
-15.12991394,-0.00183128
-15.11741394,-0.00154991
-15.10491394,-0.00562498
-15.09241394,-0.01043209
-15.07991394,-0.00723451
-15.06741394,-0.01064192
-15.05491394,-0.00918024
-15.04241395,-0.00854836
-15.02991395,-0.00985504
-15.01741395,-0.01459301
-15.00491395,-0.01224429
-14.99241395,-0.00996235
-14.97991395,-0.01061331
-14.96741395,-0.01283325
-14.95491395,-0.01563025
-14.94241395,-0.00880588
-14.92991395,-0.01151702
-14.91741395,-0.00958560
-14.90491395,-0.01189139
-14.89241395,-0.00990512
-14.87991396,-0.00906579
-14.86741396,-0.01568748
-14.85491396,-0.00863896
-14.84241396,-0.00900140
-14.82991396,-0.00798562
-14.81741396,-0.00520531
-14.80491396,-0.00683630
-14.79241396,-0.01259958
-14.77991396,-0.00990750
-14.76741396,-0.00808100
-14.75491396,-0.01208453
-14.74241396,-0.01366544
-14.72991396,-0.01036771
-14.71741396,-0.01256143
-14.70491397,-0.01527257
-14.69241397,-0.01490299
-14.67991397,-0.01625498
-14.66741397,-0.01121181
-14.65491397,-0.01443801
-14.64241397,-0.01307647
-14.62991397,-0.01283803
-14.61741397,-0.01229913
-14.60491397,-0.01393012
-14.59241397,-0.00979543
-14.57991397,-0.00932331
-14.56741397,-0.01104251
-14.55491397,-0.00927801
-14.54241398,-0.01698701
-14.52991398,-0.01540849
-14.51741398,-0.01531073
-14.50491398,-0.01631221
-14.49241398,-0.01302163
-14.47991398,-0.01120466
-14.46741398,-0.00875342
-14.45491398,-0.00839098
-14.44241398,-0.01120704
-14.42991398,-0.01354145
-14.41741398,-0.01444278
-14.40491398,-0.00861035
-14.39241398,-0.00589681
-14.37991398,-0.00744196
-14.36741399,-0.01349614
-14.35491399,-0.01151464
-14.34241399,-0.00986220
-14.32991399,-0.01568033
-14.31741399,-0.01183655
-14.30491399,-0.01532504
-14.29241399,-0.01046547
-14.27991399,-0.01447855
-14.26741399,-0.01131196
-14.25491399,-0.00990036
-14.24241399,-0.01246129
-14.22991399,-0.01564218
-14.21741399,-0.01215607
-14.20491400,-0.00974059
-14.19241400,-0.01129527
-14.17991400,-0.01484099
-14.16741400,-0.01510805
-14.15491400,-0.01282849
