Time,Average(B)
(us),(mV)

-20.00825132,-0.02292435
-19.99575132,-0.01812441
-19.98325132,-0.02224004
-19.97075132,-0.02282899
-19.95825132,-0.02056850
-19.94575132,-0.02094049
-19.93325132,-0.02246417
-19.92075133,-0.02569275
-19.90825133,-0.02152230
-19.89575133,-0.01667942
-19.88325133,-0.02369694
-19.87075133,-0.02751926
-19.85825133,-0.02433598
-19.84575133,-0.02385193
-19.83325133,-0.02558783
-19.82075133,-0.02500601
-19.80825133,-0.02235925
-19.79575133,-0.02375416
-19.78325133,-0.02246655
-19.77075133,-0.02053511
-19.75825133,-0.01985315
-19.74575134,-0.02287667
-19.73325134,-0.02501554
-19.72075134,-0.02433836
-19.70825134,-0.02523731
-19.69575134,-0.02334880
-19.68325134,-0.02594788
-19.67075134,-0.02080218
-19.65825134,-0.02203734
-19.64575134,-0.01855839
-19.63325134,-0.02340364
-19.62075134,-0.02298160
-19.60825134,-0.02365162
-19.59575134,-0.02146745
-19.58325135,-0.02333449
-19.57075135,-0.02193958
-19.55825135,-0.02125284
-19.54575135,-0.02130292
-19.53325135,-0.02198966
-19.52075135,-0.02268592
-19.50825135,-0.02413330
-19.49575135,-0.01855840
-19.48325135,-0.01911875
-19.47075135,-0.01673425
-19.45825135,-0.02084750
-19.44575135,-0.02689691
-19.43325135,-0.03002534
-19.42075135,-0.02699228
-19.40825136,-0.02517292
-19.39575136,-0.02502510
-19.38325136,-0.02617444
-19.37075136,-0.02636279
-19.35825136,-0.02429067
-19.34575136,-0.02319144
-19.33325136,-0.02375417
-19.32075136,-0.02256908
-19.30825136,-0.02141259
-19.29575136,-0.02303645
-19.28325136,-0.02459827
-19.27075136,-0.01943350
-19.25825136,-0.02434791
-19.24575137,-0.02110264
-19.23325137,-0.02199680
-19.22075137,-0.02225671
-19.20825137,-0.02203497
-19.19575137,-0.02444328
-19.18325137,-0.02173451
-19.17075137,-0.02194911
-19.15825137,-0.01907821
-19.14575137,-0.02084511
-19.13325137,-0.02043736
-19.12075137,-0.01907821
-19.10825137,-0.01854646
-19.09575137,-0.02100963
-19.08325137,-0.02303405
-19.07075138,-0.02209696
-19.05825138,-0.02375893
-19.04575138,-0.02243555
-19.03325138,-0.02007253
-19.02075138,-0.01674141
-19.00825138,-0.01960041
-18.99575138,-0.02276461
-18.98325138,-0.02100724
-18.97075138,-0.02100009
-18.95825138,-0.02255716
-18.94575138,-0.01913306
-18.93325138,-0.02204450
-18.92075138,-0.02188951
-18.90825139,-0.01922843
-18.89575139,-0.01542519
-18.88325139,-0.01953841
-18.87075139,-0.01840817
-18.85825139,-0.01954318
-18.84575139,-0.02272885
-18.83325139,-0.02252139
-18.82075139,-0.02183466
-18.80825139,-0.02349663
-18.79575139,-0.02360871
-18.78325139,-0.02469126
-18.77075139,-0.02589304
-18.75825139,-0.02538754
-18.74575139,-0.01882784
-18.73325140,-0.02157953
-18.72075140,-0.02136014
-18.70825140,-0.02105970
-18.69575140,-0.02078311
-18.68325140,-0.01729461
-18.67075140,-0.02215417
-18.65825140,-0.01825556
-18.64575140,-0.02099055
-18.63325140,-0.01969578
-18.62075140,-0.02083319
-18.60825140,-0.02110263
-18.59575140,-0.01770951
-18.58325140,-0.01714200
-18.57075141,-0.01465023
-18.55825141,-0.02070204
-18.54575141,-0.02604087
-18.53325141,-0.02371600
-18.52075141,-0.02318904
-18.50825141,-0.02480572
-18.49575141,-0.02376847
-18.48325141,-0.02250946
-18.47075141,-0.02422628
-18.45825141,-0.02845158
-18.44575141,-0.02652493
-18.43325141,-0.02247132
-18.42075141,-0.02169397
-18.40825141,-0.02573567
-18.39575142,-0.02448381
-18.38325142,-0.02303167
-18.37075142,-0.02224956
-18.35825142,-0.01939057
-18.34575142,-0.02126001
-18.33325142,-0.02048505
-18.32075142,-0.02006538
-18.30825142,-0.01860370
-18.29575142,-0.01734708
-18.28325142,-0.01745438
-18.27075142,-0.01950026
-18.25825142,-0.02098579
-18.24575142,-0.02225194
-18.23325143,-0.02242363
-18.22075143,-0.01787643
-18.20825143,-0.02109786
-18.19575143,-0.01938104
-18.18325143,-0.02069488
-18.17075143,-0.01830087
-18.15825143,-0.01912828
-18.14575143,-0.01979831
-18.13325143,-0.01750922
-18.12075143,-0.01922365
-18.10825143,-0.02063527
-18.09575143,-0.02245701
-18.08325143,-0.02188713
-18.07075143,-0.02230440
-18.05825144,-0.02339649
-18.04575144,-0.02486055
-18.03325144,-0.02396876
-18.02075144,-0.02851358
-18.00825144,-0.02949122
-17.99575144,-0.02600511
-17.98325144,-0.02876156
-17.97075144,-0.02334164
-17.95825144,-0.02219711
-17.94575144,-0.02558783
-17.93325144,-0.02486772
-17.92075144,-0.02402600
-17.90825144,-0.02136254
-17.89575145,-0.02198965
-17.88325145,-0.02668945
-17.87075145,-0.02573090
-17.85825145,-0.02833713
-17.84575145,-0.02636756
-17.83325145,-0.02599557
-17.82075145,-0.02610286
-17.80825145,-0.02653208
-17.79575145,-0.02620063
-17.78325145,-0.02348473
-17.77075145,-0.02198726
-17.75825145,-0.01844394
-17.74575145,-0.02037775
-17.73325145,-0.02020846
-17.72075146,-0.02340126
-17.70825146,-0.02064720
-17.69575146,-0.01705140
-17.68325146,-0.02204211
-17.67075146,-0.02334165
-17.65825146,-0.02335596
-17.64575146,-0.02195628
-17.63325146,-0.02700659
-17.62075146,-0.02823698
-17.60825146,-0.02909300
-17.59575146,-0.02438128
-17.58325146,-0.02309366
-17.57075146,-0.02262869
-17.55825147,-0.02767425
-17.54575147,-0.02388294
-17.53325147,-0.02076165
-17.52075147,-0.02078311
-17.50825147,-0.01881353
-17.49575147,-0.02287668
-17.48325147,-0.02635563
-17.47075147,-0.02172020
-17.45825147,-0.02157713
-17.44575147,-0.02048027
-17.43325147,-0.02297206
-17.42075147,-0.02236163
-17.40825147,-0.02121231
-17.39575147,-0.02193958
-17.38325148,-0.02058282
-17.37075148,-0.01908059
-17.35825148,-0.02491063
-17.34575148,-0.02110024
-17.33325148,-0.01922366
-17.32075148,-0.02199203
-17.30825148,-0.02433121
-17.29575148,-0.02673953
-17.28325148,-0.02589542
-17.27075148,-0.02412853
-17.25825148,-0.02250946
-17.24575148,-0.02218995
-17.23325148,-0.02022515
-17.22075149,-0.02340126
-17.20825149,-0.02109786
-17.19575149,-0.02048028
-17.18325149,-0.01718731
-17.17075149,-0.02312945
-17.15825149,-0.02277176
-17.14575149,-0.02344657
-17.13325149,-0.02511809
-17.12075149,-0.02761225
-17.10825149,-0.02667515
-17.09575149,-0.02256669
-17.08325149,-0.02276939
-17.07075149,-0.01881352
-17.05825149,-0.01844394
-17.04575150,-0.02351332
-17.03325150,-0.02010830
-17.02075150,-0.02033482
-17.00825150,-0.02189428
-16.99575150,-0.02241409
-16.98325150,-0.03131296
-16.97075150,-0.02970342
-16.95825150,-0.02527546
-16.94575150,-0.02589544
-16.93325150,-0.02017269
-16.92075150,-0.01882784
-16.90825150,-0.01950027
-16.89575150,-0.02095479
-16.88325151,-0.02127431
-16.87075151,-0.01901859
-16.85825151,-0.02079264
-16.84575151,-0.02407845
-16.83325151,-0.02047312
-16.82075151,-0.01969817
-16.80825151,-0.02100249
-16.79575151,-0.02110263
-16.78325151,-0.02286952
-16.77075151,-0.02198966
-16.75825151,-0.02491303
-16.74575151,-0.02256431
-16.73325151,-0.02283375
-16.72075152,-0.02048505
-16.70825152,-0.02142693
-16.69575152,-0.01934526
-16.68325152,-0.02381854
-16.67075152,-0.02116700
-16.65825152,-0.02339650
-16.64575152,-0.02199204
-16.63325152,-0.02355149
-16.62075152,-0.02401644
-16.60825152,-0.02109786
-16.59575152,-0.02178459
-16.58325152,-0.02194197
-16.57075152,-0.02657023
-16.55825152,-0.02441944
-16.54575153,-0.02522301
-16.53325153,-0.02360632
-16.52075153,-0.02377801
-16.50825153,-0.02340126
-16.49575153,-0.02250947
-16.48325153,-0.02111217
-16.47075153,-0.02205641
-16.45825153,-0.02157953
-16.44575153,-0.01990800
-16.43325153,-0.01532503
-16.42075153,-0.01965287
-16.40825153,-0.01913305
-16.39575153,-0.02257148
-16.38325154,-0.02011068
-16.37075154,-0.01917597
-16.35825154,-0.02313658
-16.34575154,-0.02433597
-16.33325154,-0.02559021
-16.32075154,-0.02105255
-16.30825154,-0.02360394
-16.29575154,-0.02512524
-16.28325154,-0.02063527
-16.27075154,-0.02835859
-16.25825154,-0.02308650
-16.24575154,-0.02006062
-16.23325154,-0.02375654
-16.22075154,-0.02234731
-16.20825155,-0.02099294
-16.19575155,-0.01797897
-16.18325155,-0.02089517
-16.17075155,-0.02120277
-16.15825155,-0.02292437
-16.14575155,-0.02162245
-16.13325155,-0.02079741
-16.12075155,-0.01771904
-16.10825155,-0.02125284
-16.09575155,-0.02437891
-16.08325155,-0.02382570
-16.07075155,-0.02151277
-16.05825155,-0.02199681
-16.04575156,-0.01928089
-16.03325156,-0.02172020
-16.02075156,-0.02078789
-16.00825156,-0.02564506
-15.99575156,-0.02132200
-15.98325156,-0.01694171
-15.97075156,-0.02435743
-15.95825156,-0.02407368
-15.94575156,-0.02246177
-15.93325156,-0.02079265
-15.92075156,-0.02136492
-15.90825156,-0.01767376
-15.89575156,-0.02183227
-15.88325156,-0.02408560
-15.87075157,-0.02226387
-15.85825157,-0.02057565
-15.84575157,-0.02298875
-15.83325157,-0.02135778
-15.82075157,-0.02429068
-15.80825157,-0.01944065
-15.79575157,-0.01923318
-15.78325157,-0.02145553
-15.77075157,-0.01948356
-15.75825157,-0.02397592
-15.74575157,-0.02370410
-15.73325157,-0.02308890
-15.72075157,-0.02225195
-15.70825158,-0.02438605
-15.69575158,-0.02564029
-15.68325158,-0.03031625
-15.67075158,-0.02938868
-15.65825158,-0.02792701
-15.64575158,-0.02382092
-15.63325158,-0.02042782
-15.62075158,-0.02010830
-15.60825158,-0.02116224
-15.59575158,-0.02095241
-15.58325158,-0.01870861
-15.57075158,-0.02564029
-15.55825158,-0.02433597
-15.54575158,-0.02272408
-15.53325159,-0.02162006
-15.52075159,-0.02218279
-15.50825159,-0.02302212
-15.49575159,-0.02324866
-15.48325159,-0.02230440
-15.47075159,-0.02109071
-15.45825159,-0.02028236
-15.44575159,-0.01693695
-15.43325159,-0.02048028
-15.42075159,-0.01932857
-15.40825159,-0.01767375
-15.39575159,-0.01943826
-15.38325159,-0.01887553
-15.37075160,-0.02214941
-15.35825160,-0.02116225
-15.34575160,-0.01907344
-15.33325160,-0.02027282
-15.32075160,-0.02007253
-15.30825160,-0.02005823
-15.29575160,-0.02000815
-15.28325160,-0.02235448
-15.27075160,-0.02176550
-15.25825160,-0.01782636
-15.24575160,-0.01866569
-15.23325160,-0.02235925
-15.22075160,-0.01891605
-15.20825160,-0.01777389
-15.19575161,-0.01564217
-15.18325161,-0.02512047
-15.17075161,-0.02429068
-15.15825161,-0.02407130
-15.14575161,-0.02439082
-15.13325161,-0.02325105
-15.12075161,-0.01775482
-15.10825161,-0.02277652
-15.09575161,-0.02246656
-15.08325161,-0.02324627
-15.07075161,-0.02532791
-15.05825161,-0.02714249
-15.04575161,-0.02411899
-15.03325162,-0.02526830
-15.02075162,-0.02380662
-15.00825162,-0.02778154
-14.99575162,-0.02511093
-14.98325162,-0.02194434
-14.97075162,-0.02276699
-14.95825162,-0.02121231
-14.94575162,-0.01932142
-14.93325162,-0.02132438
-14.92075162,-0.02267400
-14.90825162,-0.01975062
-14.89575162,-0.02386862
-14.88325162,-0.02340365
-14.87075162,-0.02157953
-14.85825163,-0.02543046
-14.84575163,-0.02058041
-14.83325163,-0.02392825
-14.82075163,-0.02318188
-14.80825163,-0.02616964
-14.79575163,-0.02798184
-14.78325163,-0.02595980
-14.77075163,-0.01933572
-14.75825163,-0.02059235
-14.74575163,-0.02188711
-14.73325163,-0.02132200
-14.72075163,-0.02585014
-14.70825163,-0.02585489
-14.69575164,-0.02375417
-14.68325164,-0.02203496
-14.67075164,-0.02296491
-14.65825164,-0.02695175
-14.64575164,-0.02152707
-14.63325164,-0.02157714
-14.62075164,-0.02517292
-14.60825164,-0.02523254
-14.59575164,-0.01959803
-14.58325164,-0.02167252
-14.57075164,-0.02114793
-14.55825164,-0.02110262
-14.54575164,-0.02407368
-14.53325164,-0.01928566
-14.52075165,-0.02354433
-14.50825165,-0.02585489
-14.49575165,-0.02104063
-14.48325165,-0.02111216
-14.47075165,-0.02362303
-14.45825165,-0.02192766
-14.44575165,-0.02162244
-14.43325165,-0.01928804
-14.42075165,-0.01896852
-14.40825165,-0.02089756
-14.39575165,-0.02058042
-14.38325165,-0.02261678
-14.37075165,-0.02282183
-14.35825166,-0.02218757
-14.34575166,-0.02549483
-14.33325166,-0.02278844
-14.32075166,-0.02438843
-14.30825166,-0.02168921
-14.29575166,-0.02382094
-14.28325166,-0.02261677
-14.27075166,-0.02313182
-14.25825166,-0.02365640
-14.24575166,-0.02604565
-14.23325166,-0.02700421
-14.22075166,-0.02439320
-14.20825166,-0.02354671
-14.19575166,-0.02392585
-14.18325167,-0.02131245
-14.17075167,-0.01958372
-14.15825167,-0.01937626
